intersection,union-intersection,jaccard,n_intersections,name_1,name_2
58544850,151761050,0.38577,123139,c1.NH-A-H3K4me1,b6.NH-A-H3K27ac
3730679,185696158,0.020090200000000003,15242,c1.NH-A-H3K4me1,b7.NH-A-H3K27me3
6178916,199038816,0.0310438,27187,c1.NH-A-H3K4me1,b8.NH-A-H3K36me3
125337852,125337852,1.0,233574,c1.NH-A-H3K4me1,c1.NH-A-H3K4me1
23671267,166610638,0.142075,105323,c2.NH-A-H3K4me2,a1.E081
23053649,162738615,0.14166099999999998,120021,c2.NH-A-H3K4me2,a2.E082
51826134,207344256,0.249952,45622,c2.NH-A-H3K4me2,a3.Noonan
254444,148532254,0.00171306,1664,c2.NH-A-H3K4me2,a4.E129
14488984,125121701,0.115799,61039,c2.NH-A-H3K4me2,a5.hNSC-50
7579398,118184091,0.0641321,41025,c2.NH-A-H3K4me2,a6.hNSC-P5-1
7860755,119675573,0.06568389999999999,44672,c2.NH-A-H3K4me2,a7.hNSC-P5-2
8529873,119249212,0.0715298,47058,c2.NH-A-H3K4me2,a8.hNSC-P15-1
9204279,131370781,0.07006339999999998,67952,c2.NH-A-H3K4me2,b1.Chorion-DNase
2983262,121120723,0.0246305,14050,c2.NH-A-H3K4me2,b2.NH-A-CTCF
14259320,127983470,0.11141500000000001,109239,c2.NH-A-H3K4me2,b3.NH-A-DNase
2356719,114762266,0.0205357,3697,c2.NH-A-H3K4me2,b4.NH-A-EZH2
36859316,120869615,0.304951,73992,c2.NH-A-H3K4me2,b5.NH-A-H2AZ
61465692,137009246,0.44862399999999997,95880,c2.NH-A-H3K4me2,b6.NH-A-H3K27ac
5502307,172093568,0.0319728,15328,c2.NH-A-H3K4me2,b7.NH-A-H3K27me3
3993829,189392941,0.0210875,15257,c2.NH-A-H3K4me2,b8.NH-A-H3K36me3
76056745,162787997,0.467213,151620,c2.NH-A-H3K4me2,c1.NH-A-H3K4me1
113506890,113506890,1.0,125898,c2.NH-A-H3K4me2,c2.NH-A-H3K4me2
16706247,111703535,0.149559,70954,c3.NH-A-H3K4me3,a1.E081
16498056,107422085,0.153582,80474,c3.NH-A-H3K4me3,a2.E082
35079997,162218270,0.216252,36583,c3.NH-A-H3K4me3,a3.Noonan
250489,86664086,0.00289034,1543,c3.NH-A-H3K4me3,a4.E129
11050332,66688230,0.165701,44735,c3.NH-A-H3K4me3,a5.hNSC-50
6117499,57773867,0.105887,32917,c3.NH-A-H3K4me3,a6.hNSC-P5-1
6187681,59476524,0.10403599999999999,34390,c3.NH-A-H3K4me3,a7.hNSC-P5-2
6608855,59298107,0.111451,35841,c3.NH-A-H3K4me3,a8.hNSC-P15-1
5935718,72767219,0.08157130000000001,45829,c3.NH-A-H3K4me3,b1.Chorion-DNase
1669213,60562649,0.0275618,8278,c3.NH-A-H3K4me3,b2.NH-A-CTCF
5881310,74489357,0.078955,49071,c3.NH-A-H3K4me3,b3.NH-A-DNase
1422337,53824525,0.0264254,3103,c3.NH-A-H3K4me3,b4.NH-A-EZH2
26547853,69308955,0.383036,50793,c3.NH-A-H3K4me3,b5.NH-A-H2AZ
32304914,104297901,0.309737,56016,c3.NH-A-H3K4me3,b6.NH-A-H3K27ac
2939047,112784705,0.0260589,9818,c3.NH-A-H3K4me3,b7.NH-A-H3K27me3
1779214,129735433,0.0137142,7092,c3.NH-A-H3K4me3,b8.NH-A-H3K36me3
30526559,146446060,0.20844899999999997,79519,c3.NH-A-H3K4me3,c1.NH-A-H3K4me1
50003074,115138583,0.43428599999999995,67433,c3.NH-A-H3K4me3,c2.NH-A-H3K4me2
51634767,51634767,1.0,70953,c3.NH-A-H3K4me3,c3.NH-A-H3K4me3
6728686,191108962,0.0352086,45326,c4.NH-A-H3K79me2,a1.E081
6876781,186471226,0.0368785,54566,c4.NH-A-H3K79me2,a2.E082
19692106,247034027,0.07971410000000001,32332,c4.NH-A-H3K79me2,a3.Noonan
356353,155986088,0.00228452,2088,c4.NH-A-H3K79me2,a4.E129
2789581,144376847,0.019321500000000002,18135,c4.NH-A-H3K79me2,a5.hNSC-50
1182407,132136825,0.00894835,10644,c4.NH-A-H3K79me2,a6.hNSC-P5-1
1233512,133858559,0.00921504,11288,c4.NH-A-H3K79me2,a7.hNSC-P5-2
1382223,133952605,0.010318700000000002,12341,c4.NH-A-H3K79me2,a8.hNSC-P15-1
2593220,145537583,0.017818200000000003,21778,c4.NH-A-H3K79me2,b1.Chorion-DNase
722896,130936832,0.00552095,3709,c4.NH-A-H3K79me2,b2.NH-A-CTCF
2869326,146929207,0.019528599999999997,23799,c4.NH-A-H3K79me2,b3.NH-A-DNase
66573,124608155,0.000534259,231,c4.NH-A-H3K79me2,b4.NH-A-EZH2
6587639,158697035,0.0415108,17168,c4.NH-A-H3K79me2,b5.NH-A-H2AZ
21387131,184643550,0.115829,45442,c4.NH-A-H3K79me2,b6.NH-A-H3K27ac
391303,184760315,0.0021179000000000003,1670,c4.NH-A-H3K79me2,b7.NH-A-H3K27me3
18810705,182131808,0.103281,75834,c4.NH-A-H3K79me2,b8.NH-A-H3K36me3
26347932,220052553,0.119735,66976,c4.NH-A-H3K79me2,c1.NH-A-H3K4me1
28971419,205598104,0.140913,46429,c4.NH-A-H3K79me2,c2.NH-A-H3K4me2
18275041,154422359,0.118345,29712,c4.NH-A-H3K79me2,c3.NH-A-H3K4me3
121062633,121062633,1.0,204539,c4.NH-A-H3K79me2,c4.NH-A-H3K79me2
17469124,131310498,0.133037,77635,c5.NH-A-H3K9ac,a1.E081
17030026,127259955,0.133821,87253,c5.NH-A-H3K9ac,a2.E082
38445746,179222361,0.21451399999999998,39402,c5.NH-A-H3K9ac,a3.Noonan
104805,107179610,0.000977845,684,c5.NH-A-H3K9ac,a4.E129
11281121,86827281,0.12992599999999999,47727,c5.NH-A-H3K9ac,a5.hNSC-50
6087758,78173448,0.077875,33900,c5.NH-A-H3K9ac,a6.hNSC-P5-1
6200934,79833111,0.0776737,35833,c5.NH-A-H3K9ac,a7.hNSC-P5-2
6736578,79540224,0.084694,37877,c5.NH-A-H3K9ac,a8.hNSC-P15-1
6243447,92829330,0.06725729999999999,49387,c5.NH-A-H3K9ac,b1.Chorion-DNase
1926278,80675424,0.0238769,10416,c5.NH-A-H3K9ac,b2.NH-A-CTCF
7807060,92933447,0.084007,66950,c5.NH-A-H3K9ac,b3.NH-A-DNase
617887,74998815,0.00823862,1442,c5.NH-A-H3K9ac,b4.NH-A-EZH2
28427799,87798849,0.323783,56616,c5.NH-A-H3K9ac,b5.NH-A-H2AZ
52987296,103985359,0.5095649999999999,79554,c5.NH-A-H3K9ac,b6.NH-A-H3K27ac
1509934,134583658,0.0112193,5635,c5.NH-A-H3K9ac,b7.NH-A-H3K27me3
3692304,148192183,0.024915599999999996,14356,c5.NH-A-H3K9ac,b8.NH-A-H3K36me3
49560767,147781692,0.335365,103738,c5.NH-A-H3K9ac,c1.NH-A-H3K4me1
63069921,122441576,0.5151020000000001,82653,c5.NH-A-H3K9ac,c2.NH-A-H3K4me2
41288970,82350404,0.501382,56413,c5.NH-A-H3K9ac,c3.NH-A-H3K4me3
22565179,170502061,0.13234500000000002,39784,c5.NH-A-H3K9ac,c4.NH-A-H3K79me2
72004607,72004607,1.0,92061,c5.NH-A-H3K9ac,c5.NH-A-H3K9ac
1073505,111496248,0.00962817,10139,c6.NH-A-H3K9me3,a1.E081
1014989,107065123,0.00948011,11578,c6.NH-A-H3K9me3,a2.E082
1660241,179797997,0.00923392,8089,c6.NH-A-H3K9me3,a3.Noonan
5725172,65349374,0.0876087,34747,c6.NH-A-H3K9me3,a4.E129
228672,61669861,0.003708,2259,c6.NH-A-H3K9me3,a5.hNSC-50
89182,47962155,0.00185942,912,c6.NH-A-H3K9me3,a6.hNSC-P5-1
123571,49700605,0.00248631,1376,c6.NH-A-H3K9me3,a7.hNSC-P5-2
104436,49962497,0.00209029,1153,c6.NH-A-H3K9me3,a8.hNSC-P15-1
575181,62287727,0.00923426,5731,c6.NH-A-H3K9me3,b1.Chorion-DNase
93621,46298212,0.00202213,644,c6.NH-A-H3K9me3,b2.NH-A-CTCF
192508,64338130,0.00299213,1893,c6.NH-A-H3K9me3,b3.NH-A-DNase
183871,39222962,0.00468784,913,c6.NH-A-H3K9me3,b4.NH-A-EZH2
463583,79553196,0.00582733,2662,c6.NH-A-H3K9me3,b5.NH-A-H2AZ
458473,120304313,0.00381094,2412,c6.NH-A-H3K9me3,b6.NH-A-H3K27ac
1687650,98196073,0.0171865,9996,c6.NH-A-H3K9me3,b7.NH-A-H3K27me3
1488132,114186486,0.013032499999999999,6799,c6.NH-A-H3K9me3,b8.NH-A-H3K36me3
708557,160424033,0.00441678,4335,c6.NH-A-H3K9me3,c1.NH-A-H3K4me1
670167,148631461,0.00450892,3557,c6.NH-A-H3K9me3,c2.NH-A-H3K4me2
639249,86790256,0.00736545,3234,c6.NH-A-H3K9me3,c3.NH-A-H3K4me3
826305,156031066,0.00529577,4192,c6.NH-A-H3K9me3,c4.NH-A-H3K79me2
318341,107481004,0.00296183,1737,c6.NH-A-H3K9me3,c5.NH-A-H3K9ac
35794738,35794738,1.0,150038,c6.NH-A-H3K9me3,c6.NH-A-H3K9me3
3960721,154768313,0.025591299999999997,31363,c7.NH-A-H4K20me1,a1.E081
3952772,150286621,0.026301599999999998,37013,c7.NH-A-H4K20me1,a2.E082
12471599,215145920,0.0579681,26533,c7.NH-A-H4K20me1,a3.Noonan
148467,117085360,0.00126802,982,c7.NH-A-H4K20me1,a4.E129
846416,107211398,0.00789483,7413,c7.NH-A-H4K20me1,a5.hNSC-50
283796,93926822,0.00302146,2846,c7.NH-A-H4K20me1,a6.hNSC-P5-1
335117,95648340,0.00350364,3491,c7.NH-A-H4K20me1,a7.hNSC-P5-2
393558,95832656,0.00410672,4153,c7.NH-A-H4K20me1,a8.hNSC-P15-1
2006737,107015452,0.0187518,17681,c7.NH-A-H4K20me1,b1.Chorion-DNase
658117,91892997,0.00716178,4385,c7.NH-A-H4K20me1,b2.NH-A-CTCF
2013921,108675998,0.018531400000000003,18058,c7.NH-A-H4K20me1,b3.NH-A-DNase
180826,85385288,0.00211777,755,c7.NH-A-H4K20me1,b4.NH-A-EZH2
1506541,124669519,0.0120843,6730,c7.NH-A-H4K20me1,b5.NH-A-H2AZ
10299318,156622749,0.0657588,28928,c7.NH-A-H4K20me1,b6.NH-A-H3K27ac
1082435,144960569,0.007467100000000001,4579,c7.NH-A-H4K20me1,b7.NH-A-H3K27me3
17233602,144600297,0.119181,67636,c7.NH-A-H4K20me1,b8.NH-A-H3K36me3
19060737,188231134,0.101262,52865,c7.NH-A-H4K20me1,c1.NH-A-H3K4me1
16835009,178625900,0.0942473,35744,c7.NH-A-H4K20me1,c2.NH-A-H3K4me2
8392710,125196076,0.0670365,19622,c7.NH-A-H4K20me1,c3.NH-A-H3K4me3
55503396,147513256,0.37626,130195,c7.NH-A-H4K20me1,c4.NH-A-H3K79me2
11753107,142205519,0.08264869999999999,27670,c7.NH-A-H4K20me1,c5.NH-A-H3K9ac
531629,117217128,0.00453542,2985,c7.NH-A-H4K20me1,c6.NH-A-H3K9me3
81954019,81954019,1.0,167656,c7.NH-A-H4K20me1,c7.NH-A-H4K20me1
